t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2280,5.0,1193.81,315.242,1.24819,685.153,685.056,-11.5085,315.705,0.111909,59.0847,59.0571,-1.80624,744.232,744.113,-13.3148,
0.231,12.5,0,2283,4.95,1183.42,312.993,1.21765,679.429,679.347,-10.5009,313.508,0.110821,59.0053,58.9755,-1.87343,738.427,738.323,-12.3744,
0.481,12.5,0,2283,4.91,1173.86,320.129,1.24492,687.744,687.614,-13.3829,320.663,0.115308,59.8626,59.8626,-0.0646009,747.597,747.476,-13.4475,
0.731,12.5,0,2281,4.94,1180.0,316.445,1.22457,685.255,685.12,-13.5897,316.939,0.111896,58.6912,58.6882,-0.585827,743.943,743.808,-14.1755,
0.981,12.5,0,2280,4.93,1177.09,315.566,1.21526,684.74,684.601,-13.8207,316.078,0.116788,61.0778,61.0749,-0.60374,745.815,745.676,-14.4244,
1.231,12.5,0,2281,4.93,1177.61,314.17,1.21273,683.984,683.884,-11.7243,314.625,0.113989,60.0613,60.0509,-1.11563,744.046,743.935,-12.8399,
1.481,12.5,0,2280,4.97,1186.64,313.039,1.23087,686.308,686.187,-12.9281,313.562,0.11242,58.4727,58.4722,0.228616,744.767,744.659,-12.6995,
1.731,12.5,0,2281,4.99,1191.94,315.005,1.2451,687.599,687.42,-15.6619,315.46,0.112853,57.8942,57.8937,0.249504,745.473,745.314,-15.4124,
1.981,12.5,0,2281,4.96,1184.77,318.053,1.24525,685.579,685.47,-12.2175,318.468,0.116596,59.7593,59.7585,0.30285,745.324,745.229,-11.9146,
2.231,12.5,0,2281,4.95,1182.39,317.556,1.23447,684.768,684.58,-16.0396,318.026,0.115268,59.0376,59.0364,0.367366,743.782,743.617,-15.6723,
2.481,12.5,0,2280,4.95,1181.87,310.89,1.2102,684.573,684.457,-12.5656,311.528,0.111657,58.3996,58.3991,-0.243907,742.967,742.856,-12.8096,
2.731,12.5,0,2281,4.96,1184.77,310.831,1.22497,683.435,683.281,-14.5073,311.343,0.11423,59.1772,59.176,0.366151,742.592,742.458,-14.1411,
2.981,12.5,0,2280,4.96,1184.25,316.03,1.24371,689.465,689.281,-15.935,316.452,0.113982,58.525,58.5228,0.500207,747.963,747.803,-15.4348,
3.231,12.5,0,2281,4.96,1184.77,310.77,1.21392,684.573,684.412,-14.8282,311.396,0.107131,57.2321,57.2321,0.00273003,741.792,741.644,-14.8255,
3.481,12.5,0,2279,4.98,1188.51,311.963,1.20203,685.07,684.972,-11.607,312.624,0.109891,58.6455,58.6414,-0.686797,743.715,743.613,-12.2938,
3.731,12.5,0,2280,4.99,1191.42,312.429,1.21247,685.833,685.699,-13.5542,313.145,0.107047,57.6217,57.6184,-0.616173,743.452,743.317,-14.1703,
3.981,12.5,0,2279,4.99,1190.9,316.103,1.21254,681.605,681.487,-12.659,316.759,0.108521,57.8502,57.8386,-1.1629,739.455,739.326,-13.8219,
4.231,12.5,0,2281,4.97,1187.16,313.029,1.2078,683.708,683.577,-13.3748,313.677,0.107419,57.6984,57.6963,-0.491857,741.403,741.273,-13.8667,
4.481,12.5,0,2280,4.97,1186.64,311.329,1.20151,686.482,686.32,-14.9221,311.944,0.108838,58.2094,58.2076,-0.464996,744.687,744.528,-15.3871,
4.731,12.5,0,2280,4.96,1184.25,319.438,1.23749,679.634,679.508,-13.075,319.993,0.11189,58.6104,58.5938,-1.39443,738.243,738.102,-14.4694,
4.981,12.5,0,2279,5.04,1202.83,316.249,1.22922,680.655,680.504,-14.3193,316.894,0.110115,58.5782,58.5475,-1.89838,739.23,739.052,-16.2177,
5.231,12.5,0,2280,4.94,1179.48,317.023,1.23178,684.976,684.86,-12.5883,317.646,0.110154,58.7801,58.7631,-1.4151,743.755,743.623,-14.0034,
5.481,12.5,0,2279,5.03,1200.44,313.943,1.23305,687.196,687.066,-13.3607,314.39,0.110818,59.2302,59.207,-1.65927,746.424,746.273,-15.0199,
5.731,12.5,0,2280,4.95,1181.87,317.174,1.23534,683.873,683.716,-14.6359,317.618,0.111107,58.8704,58.8337,-2.07605,742.738,742.55,-16.7119,
5.981,12.5,0,2279,5.02,1198.05,319.12,1.22383,683.307,683.135,-15.3392,319.649,0.110566,58.4194,58.4012,-1.46107,741.726,741.536,-16.8003,
6.231,12.5,0,2280,4.95,1181.87,317.319,1.22839,684.83,684.742,-10.9926,317.914,0.108983,57.6361,57.6188,-1.412,742.464,742.361,-12.4046,
6.481,12.5,0,2279,5.03,1200.44,317.348,1.22999,681.624,681.531,-11.2169,317.957,0.110343,58.0471,58.0279,-1.49525,739.669,739.559,-12.7121,
6.731,12.5,0,2280,4.97,1186.64,312.56,1.23734,687.931,687.78,-14.4273,313.003,0.113333,59.6423,59.6117,-1.91201,747.57,747.392,-16.3393,
6.981,12.5,0,2279,5.03,1200.44,318.389,1.24643,684.413,684.267,-14.1417,318.809,0.111605,59.0765,59.0499,-1.77268,743.487,743.317,-15.9143,
7.231,12.5,0,2279,4.97,1186.12,317.707,1.23127,685.338,685.175,-14.9446,318.324,0.107354,57.2724,57.258,-1.28656,742.611,742.433,-16.2311,
7.481,12.5,0,2281,4.97,1187.16,315.46,1.23446,689.856,689.692,-15.039,315.903,0.114766,59.9015,59.8764,-1.73436,749.756,749.568,-16.7734,
7.684,12.5,0,2281,4.98,1189.55,319.064,1.24094,686.944,686.781,-14.9917,319.515,0.116948,59.6046,59.6046,-0.0483856,746.537,746.385,-15.0401,
7.934,12.5,0,2279,5.0,1193.28,316.703,1.24733,693.454,693.281,-15.4902,317.155,0.115111,58.9467,58.9466,0.130137,752.385,752.228,-15.3601,
8.184,12.5,0,2280,4.95,1181.87,320.203,1.24215,688.253,688.11,-14.0488,320.643,0.117079,60.1283,60.1283,-0.0449451,748.371,748.238,-14.0938,
8.434,12.5,0,2279,4.99,1190.9,316.875,1.21776,685.852,685.713,-13.8205,317.512,0.109775,58.2726,58.2652,-0.929918,744.124,743.978,-14.7504,
8.684,12.5,0,2280,4.99,1191.42,314.772,1.22209,686.169,686.035,-13.5566,315.386,0.107698,57.8004,57.794,-0.856603,743.969,743.829,-14.4132,
8.934,12.5,0,2279,5.0,1193.28,312.06,1.22533,691.678,691.531,-14.2645,312.694,0.109035,58.1603,58.1581,-0.502232,749.835,749.689,-14.7668,
9.184,12.5,0,2280,5.0,1193.81,310.444,1.21751,689.159,689.035,-13.0878,311.056,0.109391,57.5619,57.5595,-0.527784,746.719,746.595,-13.6156,
9.434,12.5,0,2279,4.98,1188.51,310.7,1.22277,689.112,688.984,-13.2529,311.236,0.111337,58.1636,58.1636,0.0261476,747.265,747.148,-13.2268,
9.684,12.5,0,2281,4.96,1184.77,310.8,1.23519,691.047,690.838,-16.9876,311.319,0.110819,58.4309,58.429,0.469866,749.449,749.267,-16.5178,
