t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.128025,-0.780916,0.908941,-0.020811,-0.0660212,0.0868323,0.669307,-0.907131,0.237824,-0.441202,-0.384328,0.825531,-0.462013,-0.45035,0.912363,1.00241,0.973633,0,-0.0900879,-0.0123291,0.803223,-0.433228,-0.795532,0.0,-0.88562,-0.0123291,0.00390625,0.0235596,0.0153809,0.012207,0.0201416,0.0166016,-0.00170898,-0.00720215,0.0136719,0.00500488,1.26648
0.002,0.592879,-0.99985,0.406971,0.0150701,-0.0904204,0.0753503,0.542777,-0.967047,0.42427,0.130982,-0.785891,0.65491,0.146052,-0.876312,0.73026,1.00162,1.00562,0,-0.0776367,-0.00830078,0.849731,-0.495239,-0.837524,0.0487061,-0.915161,0.0404053,0.0057373,-0.00500488,0.0155029,0.00134277,0.00549316,-0.00268555,0.00854492,0.0123291,0.0240479,0.0136719,1.26648
0.004,0.974669,-0.650635,-0.324034,0.0818089,-0.0846794,0.00287049,0.380772,-0.941882,0.561111,0.663527,-0.761763,0.0982364,0.745336,-0.846443,0.101107,0.999245,0.985107,0,-0.0892334,-0.0137939,0.817139,-0.503296,-0.832764,0.013916,-0.921997,0.00012207,0.0133057,-0.00805664,0.00488281,0.00598145,0.0109863,-0.0251465,0.00915527,-0.00976562,0.0140381,-0.00378418,1.2666
0.006,0.806255,0.0847984,-0.891053,0.0925733,-0.0502335,-0.0423397,0.240052,-0.902338,0.662286,0.823807,-0.282645,-0.541162,0.916381,-0.332879,-0.583502,0.99885,1.01074,0,-0.0831299,0.00537109,0.833008,-0.452515,-0.843872,0.00170898,-0.927002,0.00708008,-0.0388184,-0.000610352,-0.00610352,0.0078125,-0.0209961,0.0233154,0.0192871,-0.0238037,0.0131836,-0.0159912,1.2666
0.008,0.267482,0.696889,-0.96437,0.0552569,0.00789384,-0.0631507,0.0875065,-0.82205,0.734544,0.472224,0.382605,-0.854829,0.527481,0.390499,-0.91798,1.0032,0.986816,0,-0.0731201,0.00646973,0.870117,-0.362793,-0.8573,-0.0820312,-0.93042,-0.0755615,-0.00170898,0.0258789,-0.0146484,-0.00146484,-0.015625,-0.0270996,0.0205078,0.0166016,0.00585938,0.0151367,1.26648
0.01,-0.45952,0.990599,-0.53108,0.011482,0.0495159,-0.0609979,-0.184473,-0.739366,0.923839,-0.0206814,0.76521,-0.744529,-0.0091994,0.814726,-0.805527,1.0028,0.975098,0,-0.0783691,0.0057373,0.835449,-0.445435,-0.829834,0.00268555,-0.908203,0.00842285,-0.0123291,0.0151367,-0.0146484,-0.00439453,-0.034668,0.00280762,0.0477295,-0.019043,0.0330811,-0.0234375,1.2666
0.012,-0.935042,0.709223,0.225819,-0.0365987,0.064586,-0.0279873,-0.377224,-0.606352,0.983576,-0.577355,0.832424,-0.25507,-0.613953,0.89701,-0.283057,1.00162,1.01465,0,-0.0622559,0.0158691,0.832886,-0.500244,-0.825439,0.0611572,-0.887695,0.0770264,0.0321045,0.0386963,-0.00219727,0.00317383,0.0112305,-0.0310059,0.0302734,0.0333252,0.0280762,0.036499,1.2666
0.014,-0.875602,0.0616716,0.81393,-0.0717622,0.0200934,0.0516688,-0.483651,-0.475734,0.959385,-0.825531,0.401563,0.423968,-0.897293,0.421656,0.475637,1.00201,0.980347,0,-0.0736084,-0.00170898,0.883301,-0.428833,-0.873901,-0.00244141,-0.94751,-0.00415039,-0.0115967,0.0020752,0.0113525,-0.00939941,-0.0247803,0.0252686,0.0501709,-0.0198975,0.0615234,-0.0292969,1.26648
0.016,-0.357404,-0.629821,0.987225,-0.0466454,-0.0157877,0.0624331,-0.645656,-0.322349,0.968005,-0.585972,-0.25507,0.841042,-0.632617,-0.270858,0.903475,0.99964,0.997437,0,-0.0593262,0.000732422,0.883911,-0.439453,-0.890869,-0.0179443,-0.950195,-0.0172119,-0.0214844,0.0184326,0.00158691,-0.00976562,-0.0291748,0.0316162,0.0584717,0.00891113,0.0600586,-0.000854492,1.2666
0.018,0.350546,-0.987516,0.63697,0.0172229,-0.0767856,0.0595626,-0.801749,-0.139006,0.940754,-0.015511,-0.792785,0.808296,0.00171191,-0.869571,0.867859,0.999245,0.970703,0,-0.0822754,-0.0181885,0.914185,-0.427734,-0.884644,-0.0202637,-0.966919,-0.0384521,-0.0301514,0.0155029,-0.00585938,0.00476074,-0.0246582,-0.0185547,0.0339355,0.0174561,0.0280762,0.0222168,1.2666
