t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2282,5.01,1197.24,315.034,1.20661,680.894,680.744,-14.3124,315.577,0.112033,59.1628,59.1598,-0.597925,740.054,739.903,-14.9104,
0.231,12.5,0,2281,4.97,1187.16,316.6,1.22079,682.93,682.829,-11.7607,317.111,0.114336,58.9775,58.9764,-0.360675,741.904,741.805,-12.1213,
0.481,12.5,0,2280,4.96,1184.25,311.578,1.21836,680.747,680.651,-11.4346,312.107,0.110321,57.1091,57.107,0.496,737.839,737.758,-10.9386,
0.731,12.5,0,2281,4.97,1187.16,316.105,1.24065,681.353,681.223,-13.3247,316.544,0.111988,57.6411,57.638,0.5995,738.971,738.861,-12.7252,
0.981,12.5,0,2281,4.94,1180.0,318.547,1.23845,685.341,685.227,-12.4701,319.057,0.11355,58.3836,58.3828,-0.298774,743.72,743.61,-12.7689,
1.231,12.5,0,2281,4.98,1189.55,311.559,1.22244,684.417,684.268,-14.2728,312.056,0.110755,57.4074,57.4071,0.186707,741.809,741.675,-14.0861,
1.481,12.5,0,2281,4.96,1184.77,310.826,1.2201,683.568,683.453,-12.5255,311.417,0.110561,57.8745,57.8739,0.267469,741.429,741.327,-12.258,
1.731,12.5,0,2281,4.97,1187.16,314.38,1.22846,679.061,678.922,-13.7355,314.895,0.112244,58.3522,58.3476,0.733761,737.384,737.269,-13.0017,
1.981,12.5,0,2281,4.97,1187.16,319.484,1.23432,680.638,680.477,-14.7625,320.045,0.11408,58.4172,58.4171,-0.0710477,739.043,738.895,-14.8335,
2.231,12.5,0,2281,4.96,1184.77,317.845,1.22095,680.903,680.77,-13.4672,318.371,0.116503,59.8523,59.8521,0.175424,740.741,740.622,-13.2917,
2.481,12.5,0,2281,4.97,1187.16,308.787,1.20719,682.87,682.748,-12.8979,309.423,0.107958,57.579,57.5788,-0.16103,740.442,740.327,-13.059,
2.731,12.5,0,2280,4.97,1186.64,310.131,1.1984,677.761,677.593,-15.0776,310.778,0.108681,57.675,57.675,-0.0134948,735.423,735.268,-15.0911,
