t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2282.0,4.98,1190.07,310.789,1.20762,682.96,682.781,-15.6417,311.251,0.11036,59.0931,59.0761,-1.41396,742.053,741.857,-17.0556
0.262,12.5,0.0,2281.0,4.92,1175.22,310.989,1.20241,680.457,680.315,-13.9168,311.484,0.110531,58.9676,58.9408,-1.77818,739.422,739.255,-15.695
0.512,12.5,0.0,2281.0,4.96,1184.77,311.612,1.20499,679.364,679.237,-13.154,312.093,0.111848,59.6407,59.6216,-1.5081,739.004,738.859,-14.6621
0.762,12.5,0.0,2281.0,4.93,1177.61,311.385,1.20252,681.408,681.293,-12.4841,311.899,0.110905,58.8772,58.8587,-1.47556,740.284,740.152,-13.9596
1.012,12.5,0.0,2282.0,4.96,1185.29,313.496,1.21326,686.169,686.044,-13.1114,313.987,0.112286,59.5119,59.4978,-1.29515,745.681,745.542,-14.4066
1.262,12.5,0.0,2281.0,4.96,1184.77,318.066,1.2271,680.078,679.952,-13.0887,318.57,0.115117,58.6421,58.6415,0.267393,738.704,738.593,-12.8213
1.512,12.5,0.0,2281.0,4.97,1187.16,318.712,1.2305,683.162,683.011,-14.3656,319.196,0.114207,58.7153,58.7152,-0.102895,741.867,741.726,-14.4685
1.762,12.5,0.0,2280.0,4.95,1181.87,318.462,1.23289,684.854,684.671,-15.8567,318.908,0.114304,58.6004,58.5996,-0.306101,743.446,743.27,-16.1628
2.012,12.5,0.0,2281.0,4.95,1182.39,312.057,1.21441,681.846,681.72,-13.0948,312.656,0.105924,56.3726,56.3725,0.0891488,738.208,738.093,-13.0057
2.247,12.5,0.0,2280.0,4.98,1189.03,308.901,1.20318,680.877,680.747,-13.311,309.487,0.107965,56.9909,56.9906,-0.1608,737.86,737.737,-13.4718
2.497,12.5,0.0,2281.0,4.93,1177.61,313.669,1.23022,681.819,681.689,-13.3325,314.179,0.112838,57.9982,57.9946,0.639216,739.792,739.684,-12.6932
2.747,12.5,0.0,2279.0,5.02,1198.05,311.132,1.20165,680.579,680.485,-11.338,311.78,0.106194,56.6021,56.6019,-0.169145,737.177,737.087,-11.5071
2.997,12.5,0.0,2282.0,4.91,1173.35,313.692,1.21386,681.462,681.39,-9.89302,314.326,0.105738,56.7416,56.7374,-0.686704,738.203,738.127,-10.5797
3.247,12.5,0.0,2280.0,4.99,1191.42,312.547,1.1941,677.331,677.274,-8.74508,313.212,0.106457,56.7692,56.766,-0.605307,734.1,734.04,-9.35039
3.497,12.5,0.0,2281.0,4.9,1170.44,312.506,1.20976,682.455,682.323,-13.4337,313.226,0.106337,56.7735,56.7704,-0.598585,739.226,739.093,-14.0323
3.747,12.5,0.0,2280.0,4.99,1191.42,311.336,1.19831,683.294,683.148,-14.1234,312.018,0.107628,57.6559,57.6558,-0.114121,740.94,740.804,-14.2375
3.997,12.5,0.0,2281.0,4.93,1177.61,318.911,1.23475,678.386,678.278,-12.0752,319.462,0.11003,58.3912,58.3577,-1.98013,736.77,736.636,-14.0554
4.247,12.5,0.0,2281.0,4.97,1187.16,317.778,1.22301,678.233,678.12,-12.3522,318.396,0.109346,58.1029,58.069,-1.984,736.329,736.189,-14.3362
4.497,12.5,0.0,2281.0,4.98,1189.55,316.004,1.21129,679.777,679.674,-11.7868,316.718,0.109437,58.0842,58.0712,-1.23039,737.86,737.746,-13.0172
4.747,12.5,0.0,2280.0,4.98,1189.03,313.904,1.2029,677.536,677.387,-14.2209,314.61,0.105404,56.5867,56.5826,-0.680991,734.121,733.969,-14.9019
4.997,12.5,0.0,2281.0,4.95,1182.39,316.525,1.23933,678.14,678.035,-11.9483,317.037,0.110834,58.6105,58.5763,-2.00197,736.743,736.611,-13.9502
