t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.961714,0.268271,0.693443,-0.070327,0.032293,0.038034,-0.604268,0.931097,-0.32683,-0.785892,0.567014,0.218878,-0.856218,0.599307,0.256912,1.00517,0.981201,0,-0.0664062,-0.00842285,0.854492,-0.471924,-0.858276,0.0308838,-0.924683,0.0224609,0.00598145,0.00390625,0.00622559,-0.00292969,-0.0102539,0.0151367,0.0385742,-0.0109863,0.0447998,-0.013916,1.26648
0.002,-0.531153,-0.463308,0.99446,-0.0559745,-0.0222463,0.0782208,-0.476556,0.952667,-0.476112,-0.697996,-0.0361924,0.734188,-0.75397,-0.0584387,0.812409,1.00162,0.971924,0,-0.0811768,-0.00268555,0.877563,-0.439453,-0.860107,0.0187988,-0.941284,0.0161133,0.00585938,0.0266113,0.017334,-0.00915527,-0.0319824,-0.0231934,0.0390625,0.0146484,0.0563965,0.00549316,1.26648
0.004,0.208803,-0.948971,0.740168,-0.0129172,-0.0674565,0.0803737,-0.27198,0.937089,-0.665109,-0.222325,-0.577354,0.799679,-0.235242,-0.644811,0.880053,0.999245,1.01355,0,-0.0751953,0.000732422,0.84314,-0.441895,-0.801025,0.0250244,-0.876221,0.0257568,-0.000366211,-0.0219727,0.0152588,-0.00427246,0.0166016,-0.0272217,0.00964355,-0.00317383,0.0249023,-0.00744629,1.2666
0.006,0.779583,-0.898863,0.11928,0.0516688,-0.0925733,0.0409045,-0.102879,0.846016,-0.743137,0.398116,-0.827254,0.429138,0.449785,-0.919827,0.470043,1.00003,0.988159,0,-0.0927734,-0.0151367,0.827515,-0.428711,-0.832397,0.000610352,-0.925171,-0.0145264,-0.00878906,0.017334,-0.00878906,-0.00378418,0.0179443,0.0100098,-0.0212402,-0.00732422,-0.0300293,-0.0111084,1.26648
0.008,0.992959,-0.38776,-0.605199,0.0782208,-0.0696093,-0.00861147,0.0650386,0.762134,-0.827172,0.77038,-0.61527,-0.15511,0.848601,-0.68488,-0.163722,0.997664,0.990479,0,-0.0755615,0.00012207,0.814331,-0.37793,-0.806885,-0.0408936,-0.882446,-0.0407715,0.00756836,-0.00231934,-0.0032959,0.0152588,-0.0100098,-0.00939941,0.00354004,0.0131836,0.000244141,0.0284424,1.26648
0.01,0.65232,0.335339,-0.987659,0.0746327,-0.0143524,-0.0602803,0.258972,0.704614,-0.963586,0.794509,-0.0637675,-0.730741,0.869141,-0.07812,-0.791021,0.99885,0.982422,0,-0.0828857,0.000488281,0.87146,-0.45105,-0.863159,0.0125732,-0.946045,0.0130615,0.0109863,0.0234375,0.000610352,0.00927734,0.00585938,0.0330811,0.00512695,-0.0344238,0.0057373,-0.0251465,1.2666
0.012,-0.0830641,0.88807,-0.805006,0.0480807,0.0179406,-0.0660212,0.446993,0.536849,-0.983842,0.342966,0.567014,-0.90998,0.391046,0.584954,-0.976001,1.00162,1.01392,0,-0.0667725,0.0195312,0.86438,-0.44043,-0.877441,0.0187988,-0.944214,0.0383301,0.0174561,-0.0206299,-0.000488281,-0.0115967,0.00439453,0.00390625,0.0317383,-0.00866699,0.03125,-0.0202637,1.26648
0.014,-0.697281,0.951284,-0.254003,-0.020811,0.0559745,-0.0351635,0.593625,0.337927,-0.931553,-0.306773,0.844489,-0.537715,-0.327584,0.900463,-0.572879,1.00201,0.990601,0,-0.0708008,0.00402832,0.86853,-0.416992,-0.86853,-0.0246582,-0.939331,-0.0206299,0.000366211,0.00720215,-0.0142822,-0.0098877,0.00170898,0.024292,0.010498,-0.0290527,-0.00378418,-0.0389404,1.26648
0.016,-0.983814,0.497998,0.485816,-0.0609979,0.0502335,0.0107643,0.7509,0.191732,-0.942632,-0.787615,0.708336,0.0792786,-0.848613,0.75857,0.0900429,1.0032,0.969238,0,-0.067749,0.00244141,0.865967,-0.395264,-0.901123,0.00390625,-0.968872,0.00634766,0.00244141,-0.00866699,-0.00830078,-0.00769043,-0.0357666,0.0189209,-0.00305176,-0.0302734,-0.0113525,-0.0379639,1.2666
0.018,-0.702615,-0.256708,0.959323,-0.0574098,0.00574098,0.0516688,0.830129,0.00838827,-0.838518,-0.799679,0.153387,0.646292,-0.857089,0.159128,0.697961,1.00241,1.00635,0,-0.0512695,0.00305176,0.838623,-0.389526,-0.854858,-0.00708008,-0.906128,-0.00402832,-0.0360107,0.0205078,-0.0118408,-0.00134277,0.0045166,-0.0236816,0.00830078,-0.00549316,-0.00354004,-0.00683594,1.2666
0.02,-0.054868,-0.824857,0.879725,-0.0251168,-0.058845,0.0839618,0.950746,-0.237268,-0.713478,-0.427415,-0.470501,0.897915,-0.452531,-0.529346,0.981877,1.00003,0.989014,0,-0.0788574,-0.00708008,0.830811,-0.459839,-0.833496,0.0106201,-0.912354,0.00354004,0.00610352,0.0078125,0.00964355,0.00439453,-0.00585938,0.0186768,0.00512695,-0.0102539,0.0147705,-0.00585938,1.26648
0.022,0.63022,-0.995225,0.365005,0.0186582,-0.0846794,0.0660212,0.944834,-0.432595,-0.512239,0.184409,-0.791062,0.606653,0.203067,-0.875741,0.672674,0.998454,1.01111,0,-0.0754395,-0.0123291,0.779053,-0.399658,-0.84082,0.00280762,-0.91626,-0.00952148,0.00744629,-0.0012207,0.0108643,-0.00378418,-0.0290527,0.0998535,-0.00219727,-0.0229492,0.00866699,-0.0267334,1.26648
0.024,0.979242,-0.616716,-0.362526,0.0810913,-0.0796561,-0.00143524,0.922366,-0.558419,-0.363947,0.703166,-0.746252,0.0430861,0.784257,-0.825908,0.0416509,0.99885,0.975952,0,-0.0881348,-0.00634766,0.854004,-0.411865,-0.860718,-0.00891113,-0.948853,-0.0152588,0.00170898,-0.0179443,-0.00231934,0.0057373,-0.0234375,0.0292969,0.0020752,-0.0322266,-0.000244141,-0.0264893,1.26648
0.026,0.777297,0.141845,-0.919141,0.0925733,-0.0473631,-0.0452102,0.912906,-0.704614,-0.208291,0.837595,-0.268858,-0.568737,0.930168,-0.316221,-0.613947,0.99885,1.0188,0,-0.0759277,0.00830078,0.831299,-0.464966,-0.837769,0.0235596,-0.913696,0.0318604,-0.0432129,0.00317383,-0.0125732,0.00634766,-0.0020752,0.0234375,-0.00146484,-0.0266113,-0.0140381,-0.0202637,1.26648
0.028,0.211089,0.733892,-0.944981,0.0480807,0.0236815,-0.0717622,0.820669,-0.787299,-0.0333705,0.46016,0.408457,-0.868617,0.508241,0.432138,-0.940379,1.0032,0.986938,0,-0.0860596,0.00830078,0.861328,-0.387573,-0.869019,-0.071167,-0.955078,-0.0628662,0.00244141,0.0241699,-0.000732422,0.00427246,-0.00524902,-0.0101318,0.012207,0.0184326,0.0114746,0.0227051,1.26648
0.03,-0.515912,0.997537,-0.481626,0.011482,0.0552569,-0.0667389,0.688227,-0.917916,0.229689,-0.0534268,0.758316,-0.704889,-0.0419449,0.813573,-0.771628,1.00241,0.995728,0,-0.0734863,0.00976562,0.818604,-0.462036,-0.834351,-0.0065918,-0.907837,0.00317383,0.000366211,0.00488281,-0.00317383,-0.00500488,-0.036499,0.0162354,0.0255127,-0.0351562,0.0223389,-0.0401611,1.26648
0.032,-0.950283,0.693034,0.257249,-0.0430573,0.0559745,-0.0129172,0.564062,-0.962254,0.398192,-0.616994,0.808296,-0.191302,-0.660051,0.864271,-0.20422,0.99885,1.00439,0,-0.0690918,0.00305176,0.841919,-0.476196,-0.85022,0.0415039,-0.919312,0.0445557,0.0294189,0.0151367,-0.00109863,-0.0109863,0.0098877,-0.010376,0.0113525,0.00463867,0.0102539,-0.00634766,1.26648
0.034,-0.842071,-0.00308358,0.845155,-0.0717622,0.0186582,0.053104,0.43162,-0.967047,0.535427,-0.835871,0.382605,0.453266,-0.907634,0.401263,0.50637,1.00201,0.988037,0,-0.0679932,-0.00256348,0.853394,-0.465576,-0.862061,0.0313721,-0.930054,0.0288086,-0.0250244,-0.000610352,0.00695801,-0.00683594,-0.0119629,0.0250244,0.0305176,-0.0209961,0.0374756,-0.027832,1.26648
0.036,-0.318539,-0.667595,0.986134,-0.0401868,-0.0287049,0.0688917,0.253059,-0.928701,0.675641,-0.55495,-0.284369,0.839318,-0.595137,-0.313074,0.90821,0.998454,0.992188,0,-0.0627441,-0.00830078,0.844971,-0.450195,-0.869385,-0.0217285,-0.932129,-0.0300293,-0.0128174,0.0229492,0.00170898,-0.00634766,-0.00268555,0.0338135,0.0322266,0.0223389,0.0339355,0.0159912,1.26648
0.038,0.401603,-0.998308,0.596705,0.0143524,-0.0796561,0.0653036,0.0804114,-0.866388,0.785977,0.0534268,-0.778998,0.725571,0.0677793,-0.858654,0.790874,0.99885,0.973999,0,-0.0822754,-0.0136719,0.863892,-0.465576,-0.880127,-0.0369873,-0.962402,-0.0506592,-0.0263672,0.0196533,-0.000244141,0.00366211,-0.0424805,-0.00708008,-0.00537109,0.026001,-0.00561523,0.0296631,1.26648
0.04,0.921325,-0.761644,-0.159682,0.0602803,-0.0897028,0.0294225,-0.193933,-0.701019,0.894953,0.541162,-0.81002,0.268858,0.601442,-0.899722,0.29828,1.00003,1.01831,0,-0.0743408,-0.000854492,0.796021,-0.483643,-0.790894,0.0205078,-0.865234,0.0196533,0.0216064,0.0361328,0.00109863,0.0175781,-0.0168457,-0.0288086,0.0334473,0.0311279,0.0345459,0.0487061,1.2666
0.042,0.93047,-0.158804,-0.771666,0.0904204,-0.0459278,-0.0444926,-0.337018,-0.603955,0.940973,0.828978,-0.451543,-0.377435,0.919398,-0.497471,-0.421927,0.999245,0.989502,0,-0.083374,-0.0117188,0.858521,-0.424438,-0.836182,-0.0125732,-0.919556,-0.024292,0.00463867,-0.00439453,0.00415039,0.00939941,-0.0288086,0.00708008,0.0111084,-0.012085,0.0152588,-0.00268555,1.26648
0.044,0.438944,0.558899,-0.997843,0.0638684,-0.00932909,-0.0545393,-0.474191,-0.474536,0.948727,0.649739,0.139599,-0.789338,0.713608,0.13027,-0.843878,1.00122,0.995483,0,-0.0805664,0.00402832,0.865723,-0.467651,-0.86084,-0.0169678,-0.941406,-0.0129395,-0.00427246,0.0177002,-0.00744629,0.0012207,-0.0216064,0.0285645,0.0206299,0.00292969,0.0131836,0.00415039,1.26648
0.046,-0.275102,0.968243,-0.693141,0.0179406,0.0487983,-0.0667389,-0.642109,-0.276813,0.918921,0.0982364,0.679038,-0.777274,0.116177,0.727836,-0.844013,1.00201,0.992065,0,-0.0805664,0.00646973,0.859619,-0.450195,-0.85022,0.0032959,-0.930786,0.00976562,-0.0057373,0.00366211,-0.00854492,-0.00769043,-0.0136719,0.000854492,0.0262451,-0.0147705,0.0177002,-0.0224609,1.26648
