t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2279.0,4.94,1178.96,319.82,1.19752,664.855,664.704,-14.1714,320.414,0.10704,56.7534,56.7322,-1.55132,721.608,721.437,-15.7227
0.231,12.5,0.0,2279.0,4.97,1186.12,315.41,1.16661,665.101,664.972,-13.0827,316.156,0.10754,57.7587,57.7438,-1.31172,722.859,722.716,-14.3944
0.481,12.5,0.0,2278.0,4.95,1180.83,312.36,1.17002,668.849,668.75,-11.5385,313.085,0.105745,56.7278,56.7216,-0.835614,725.577,725.471,-12.3741
0.731,12.5,0.0,2279.0,4.95,1181.35,318.097,1.19513,664.56,664.412,-14.0109,318.643,0.107987,57.8281,57.8018,-1.74341,722.386,722.214,-15.7543
0.981,12.5,0.0,2279.0,4.96,1183.74,317.478,1.18237,665.725,665.608,-12.472,318.17,0.1066,57.3292,57.3164,-1.21107,723.054,722.924,-13.6831
1.231,12.5,0.0,2279.0,4.98,1188.51,311.904,1.17005,669.799,669.67,-13.1432,312.611,0.105957,57.1306,57.1264,-0.695183,726.928,726.797,-13.8384
1.481,12.5,0.0,2278.0,4.98,1187.99,312.393,1.16735,667.74,667.622,-12.5579,313.125,0.104939,56.9329,56.9298,-0.597835,724.671,724.552,-13.1557
1.731,12.5,0.0,2278.0,4.95,1180.83,312.692,1.16789,668.145,668.023,-12.7774,313.43,0.105515,56.9392,56.932,-0.907697,725.084,724.955,-13.6851
1.981,12.5,0.0,2279.0,4.95,1181.35,318.33,1.18752,661.656,661.547,-12.0067,318.858,0.109196,58.0875,58.0604,-1.77481,719.74,719.608,-13.7815
2.231,12.5,0.0,2278.0,4.97,1185.6,318.373,1.18472,664.612,664.472,-13.647,319.033,0.107088,57.641,57.6169,-1.66427,722.251,722.089,-15.3113
2.481,12.5,0.0,2278.0,4.95,1180.83,316.17,1.17788,668.924,668.805,-12.6324,316.856,0.107359,57.83,57.8177,-1.19392,726.754,726.623,-13.8263
2.731,12.5,0.0,2278.0,4.95,1180.83,313.461,1.17195,668.157,668.027,-13.1903,314.191,0.106307,57.3317,57.3282,-0.633589,725.487,725.355,-13.8239
2.981,12.5,0.0,2278.0,4.95,1180.83,313.114,1.17151,667.619,667.489,-13.1797,313.84,0.104683,56.3119,56.3084,-0.632422,723.929,723.797,-13.8122
3.231,12.5,0.0,2278.0,4.94,1178.44,317.192,1.20622,667.291,667.127,-14.7628,317.728,0.109324,58.2294,58.2083,-1.56864,725.52,725.336,-16.3314
3.481,12.5,0.0,2279.0,4.93,1176.58,318.343,1.20004,667.003,666.905,-11.4255,318.938,0.108782,58.231,58.2082,-1.6309,725.231,725.114,-13.0564
